project_no|year|source_url|source_page|project_name|project_description|sector|ward|zone|location|work_item
3|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|PROCUREMENT OF GRABAGE COMPACTOR TRUCK|PROCUREMENT OF GARBAGE COMAPCTOR TRUCK|SOLID WASTE MANAGEMENT|ALL12 WARDS|ALL ZONES|ALL12 WARDS|
4|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|CONSTRUCTION OF CHIEFS PALACE IN SIKONGO CHIEFDOM|CONSTRUCTION OF CHIEFS PALACE IN SIKONGO CHIEFDOM|CHIEFS AND TRADITIONAL AFFAIRS|SIKOONGO||SIKOONGO|
5|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|CDF SENSITISATION|CDF RADIO HOUR|INFORMATION AND COMMUNICATION|ALL 12 WARDS|ALL ZONES|ALL12 WARDS|
6|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|RURAL ELECTRIFICATION|PROVISION OF ELECTRICITY|ENERGY|ALL12WARDS|ALL ZONES|ALL 12 WARDS|
7|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|CONSTRUCTION OF 1 ABLUTION BLOCK AT T-JUNCTION|CONSTRUCTION OF ABLUTION BLOCK WITH SOLAR POWERED WATER SUPPLYSANITATION AT T-JUNCTION||CHIRUNDU CENTRALMANDENGA||T-JUNCTION|
8|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|CONSTRUCTION 2 OF ABLUTION BLOCKS AT MISSION MARKET AND YELLOI|CONSTRUCTION OF SANITATION FACILITIES AND SOLAR POWERED WATER SUPPLY AT MISSION AND YELLOW JACKET MARKET|SANITATION|SIKOONGO|T-JUNCTION|MISSION AND YELLOW JACKET|
9|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|ROAD CONSTRUCTION AND MAINTENANCE IN ALL THE 12 WARDS|CONSTRUCTION AND MAINTENANCE OF 72 KM OF GRAVEL ROAD AND EQUIPMENT|INFRASTRUCTURE|ALL 12 WARDS|ALL ZONES|ALL12 WARDS|
10|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|PROCUREMENT OF DESKS AT ZALAUNGA PRIMARY SCHOOL|PROCUREMENTOF 150 DESKS FOR ZALAUNGA PRIMARY SCHOOL|EDUCATION|MUSAYA|ZALAUNGA|ZALAUNGA PRIMARY SCHOOL|
11|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|PROCUREMENT OF DESKS AT NYANZALA SCHOOL|PROCUREMENTOF200DESKS FOR NYANZALA PRIMARY SCHOOL|Education|KAPULULIRA|NYANZALA|NYANZALA PRIMARY SCHOOL|
12|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|PROCUREMENT OF DESKS AT KAYUNI PRIMARY SCHOOL|PROCUREMENT OF 210 DESKS AT KAYUNI PRIMARY SCHOOL|EDUCATION|NGOMBE ILEDE|KAYUNI|KAYUNI PRIMARY SCHOOL|
