project_name|ward|year|approval_status|project_type
Construction of 1x3 Classroom Block, Staff House and Drilling and Equipping of Borehole at Hamunjo School|Chirundu West|2022|Approved|Education
Construction of 1x3 Classroom Block at Mangaba School|Kanyanga|2022|Approved|Education
Construction of Classroom Block at Chisamu Primary School|Ngombe Ilede|2022|Approved|Education
Construction of Classroom Block at Siabulembo Primary School|Mushungu|2022|Approved|Education
Drilling and Equipping of Solar Powered Borehole at Hachibbuba|Sikoongo|2022|Approved|Water
Drilling and Equipping of Solar Powered Borehole at T-Junction|Sikoongo|2022|Approved|Water
Construction of Classroom Block at Munenga Community School|Lusitu|2022|Approved|Education
Construction of Classroom Block at Chiwena Community School|Kapululira|2022|Approved|Education
Construction of 1x3 Classroom Block at Hambuto Primary School|Ibwemunyama|2022|Approved|Education
Construction of Staff House, Ablution Block and Drilling and Equipping of Solar Powered Borehole at Velu Health Post|Nkandanbbwe|2022|Approved|Health
Construction Classroom Block at Mandenga Primary School|Chirundu Central|2022|Approved|Education
Construction of Staff House at Machavika Primary School|Njame|2022|Approved|Education
Construction of 1x3 Classroom Block, Ablution Block, Staff House, Drilling and Equipping of Solar Powered Borehole at Katwezele Primary School|Musaya|2022|Approved|Education
Procurement of Landcruiser|All 12 Wards|2022|Approved|Transport
Procurement of Desks|All 12 Wards|2022|Approved|Education
Construction of 1x2 CRB at Katwezele Primary School|Musaya|2022|Approved|Education
