project_name|ward|year|approval_status|project_type
Construction of 1x3 CRB, 1 Staff House, a Solar Powered Borehole and Maternity Annex|Ibbwemunyama|2026|Approved|Education
Construction of 2 No. 1x3 CRB, 1 Ablution Block, 2 Staff Houses and 1 Borehole|Njame|2026|Approved|Education
Construction of Sports Facility (Phase 2)|Chirundu Central|2026|Approved|Sports
Solar Powered Boreholes|Kanyanga|2026|Approved|Water
Construction of 3 No. Crossing Points in Simaundu|Mushungu|2026|Approved|Infrastructure
Construction of 1x3 CRB and Ablution Block at Sianzenbwe|Ngombe Ilede|2026|Approved|Education
Construction of 2 Bedroomed Staff House|Lusitu|2026|Approved|Infrastructure
Construction of 2 Staff Houses at Shangwemu|Musaya|2026|Approved|Health
Water Reticulation System in Chibende & Lusumpuko|Chirundu West|2026|Approved|Water
Water Reticulation in Mateaunga|Nkaddabwe|2026|Approved|Water
Construction of 1 Teachers House and Ablution Block in Chiwena|Kapululira|2026|Approved|Education
Construction of Staff House at Hachibubba School|Sikoongo|2026|Approved|Education
Construction of Solar Powered Borehole|Sikoongo|2026|Approved|Water
Completion of 2 Staff Houses at Pambazana Primary School (2024 Project)|Ngombe Ilede|2026|Approved|Education
Completion of Siabulembo Staff House and Ablution Block (2024 Project)|Mushungu|2026|Approved|Education
Variation (Construction of 2 Courses and Columns at Stadium)|Chirundu Central|2026|Approved|Sports
Maintenance of Heavy Duty Machinery|All Wards|2026|Approved|Infrastructure
Presidential Constituency Energy Initiative (PCEI)|All Wards|2026|Approved|Energy
Procurement of Desks|All Wards|2026|Approved|Education
