project_name|ward|year|approval_status|project_type
Construction of Solar Powered Borehole at Ibbwemunyama Rural Health Post|Ibbwemunyama|2025|Approved|Water
Construction of a Community Water Project in Chirundu West|Chirundu West|2025|Approved|Water
Construction of a 1x3 Classroom Block at Farao Community School|Kapululira|2025|Approved|Education
Construction of a Solar Powered Borehole at Chibulemenda|Njame|2025|Approved|Water
Construction of a 1x6 Double Storey Classroom Block at Kayuni Secondary School|Ngombe Ilede|2025|Approved|Education
Upgrading of Hand Pumps in Lusitu Ward|Lusitu|2025|Approved|Water
Construction of a Solar Powered Borehole and Ablution Block at Mangaba Community School|Kanyanga|2025|Approved|Water
Upgrading of Boreholes in Sikoongo Ward|Sikoongo|2025|Approved|Water
Construction of a Bridge at Velu River|Nkaddabwe|2025|Approved|Infrastructure
Procurement of a Motor Grader|All Wards|2025|Approved|Infrastructure
Construction of Sports Facility Phase 2|Chirundu Central|2025|Approved|Sports
Construction of a Clinic in Simaundu|Mushungu|2025|Approved|Health
Construction of a 1x3 Classroom Block at Naluba Community School|Musaya|2025|Approved|Education
Completion of Chibende Maternity Annex|Chirundu West|2025|Approved|Health
