project_name|ward|year|approval_status|project_type
Construction of 1x2 CRB, Installation and Equipping of Solar Powered Borehole, Construction of Toilets, at Zalaunga Primary School|Musaya|2024|Approved|Education
Construction of 1x3 CRB at Sikongo Skills Center|Sikoongo|2024|Approved|Community Development
Construction of Toilets at Sikongo Skills Center|Sikoongo|2024|Approved|Sanitation
Upgrading of Solar Powered Boreholes; Hambezo School, Mweemba Village & Chienjuni Village|Kanyanga|2024|Approved|Water
Construction of 1x3 CRB & Ablution Block at Namabuyu School|Njame|2024|Approved|Education
Construction of Two Staff Houses at Pambazana Primary School|Ngombe Ilede|2024|Approved|Education
Installation and Equipping of Solar Powered Borehole at Matealinga Health Post|Nkandabbwe|2024|Approved|Water
Construction of Staff House at Lusitu East Primary School|Lusitu|2024|Approved|Education
Construction of 1x3 CRB, Ablution, Installation and Equipping of Solar Powered Borehole at Maunga|Ibbwemunyama|2024|Approved|Education
Construction of Staff House, Ablution Block, and Solar Powered Borehole at Siabulembo Primary School|Mushungu|2024|Approved|Education
Installation of Solar Powered Water System in Kapululira|Kapululira|2024|Approved|Water
Construction of 1x3 CRB, Ablution Block, Installation and Equipping of Solar Powered Boreholes at Chipepo Community School|Chirundu West|2024|Approved|Education
Purchase of Desks|All 12 Wards|2024|Approved|Education
Purchase of Ambulance|All 12 Wards|2024|Approved|Health
Procurement of Motorbikes|All 12 Wards|2024|Approved|Traditional Affairs
