year|category|programme_or_output|page|budget_amount|currency|notes|source_file|target_value|target_unit
2026|Local Revenue|Residential|3|202069.0|ZMW|Revenue code 001; group: Local taxes/rates.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Commercial|3|547946.0|ZMW|Revenue code 002; group: Local taxes/rates.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Personal levy|3|45000.0|ZMW|Revenue code 001; group: Local taxes/rates.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Survey fees|3|7300.0|ZMW|Revenue code 002; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Building inspection-fees|3|20000.0|ZMW|Revenue code 003; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Plan scrutiny fee|3|15000.0|ZMW|Revenue code 004; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Change of premise use|3|16800.0|ZMW|Revenue code 005; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Container/Ntemba fees|3|25000.0|ZMW|Revenue code 006; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Rentals/lease of Council’s properties|3|624000.0|ZMW|Revenue code 007; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Non-Land Application forms fees|3|100.0|ZMW|Revenue code 008; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Search fees|3|500.0|ZMW|Revenue code 011; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Notice board advert fees|3|35100.0|ZMW|Revenue code 012; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Market fees|3|20000.0|ZMW|Revenue code 013; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Parking fees|3|28007320.0|ZMW|Revenue code 014; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Loading fees (buses, trucks, trains, taxies etc.)|3|39840.0|ZMW|Revenue code 016; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Hire of halls|3|10000.0|ZMW|Revenue code 020; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Refuse disposal|3|200000.0|ZMW|Revenue code 033; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
2026|Local Revenue|Registration of clubs and societies|3|20698.0|ZMW|Revenue code 047; group: Fees and Charges.|chirundu_obb_2026.pdf.pdf||
