fiscal_year|record_type|section|line_item|amount_current_zmw|amount_prior_zmw|approved_budget_zmw|actual_zmw|variance_zmw|variance_pct|is_material_variance|notes|source_document|source_page
2024|lgef|LGEF Monthly Funding|May|785296.0|745001.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|lgef|LGEF Monthly Funding|June|782288.0|738251.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|lgef|LGEF Monthly Funding|July|859214.0|749001.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|lgef|LGEF Monthly Funding|August|787300.0|749001.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|lgef|LGEF Monthly Funding|September|786304.0|750809.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|lgef|LGEF Monthly Funding|October|788967.0|749001.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|lgef|LGEF Monthly Funding|November|788479.0|708676.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|lgef|LGEF Monthly Funding|December|748154.0|744309.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|lgef|LGEF Summary|Operational Expenditure (100%)|9393949.0|7066482.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|lgef|LGEF Summary|Capital Expenditure (prior-year funds)|795958.0|2377040.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|lgef|LGEF Summary|LGEF - Total Funding|9393949.0|8833102.0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Funding|Chirundu Constituency Funding|10000000|27261470|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Loan Repayments|CDF Loan Repayments|675337|241963|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Infrastructure Development|Construction of Primary Schools|5761852|5878137|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Infrastructure Development|Construction of Secondary Schools|282157|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Infrastructure Development|Construction of Bridges|35430|66829|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Infrastructure Development|Construction of Health Post|3760421|571208|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Infrastructure Development|Construction of Boreholes|3659951|2415981|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Infrastructure Development|Construction of Staff House|2203440|902984|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Infrastructure Development|Construction of Feeder Roads|29128|599899|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Infrastructure Development|Construction of Skills Center|284901|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Youth and Women Empowerment|Youth and Women Empowerment Grant|2374071|2118970|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Youth and Women Empowerment|Youth and Women Empowerment Loans|0|5964128|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Secondary & Skills Bursaries|Secondary & Skills Development Bursaries|3097391|7381687|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Administrative Costs|CDF Administration|1365827|2925949|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Disaster Contingency|Disaster Contingency Costs|644564|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|cdf|Other Payments|Other Payments (Mopped Funds)|1386598|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|29
2024|revenue_detail|Local Taxes|Residential Rates|85470|196627|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|25
2024|revenue_detail|Local Taxes|Industrial / Commercial Rates|208908|77650|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|25
2024|revenue_detail|Local Taxes|Personal Levy|42190|50885|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|25
2024|revenue_detail|Local Taxes|Grant in Lieu of Rates|150000|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|25
2024|revenue_detail|Fees and Charges|Consent Fees|0|2050|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Survey Fees|31350|85600|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
