year|category|programme_or_output|page|budget_amount|currency|notes|source_file|target_value|target_unit
2024|CDF|Constituency Development Programme — Total Allocation|7.0|30635642.0|ZMW|Total CDF programme allocation.|chirundu_obb_2024.pdf.pdf||
2024|CDF|Community Projects|7.0|17462316.0|ZMW|CDF sub-programme allocation.|chirundu_obb_2024.pdf.pdf||
2024|CDF|Women and Youth Empowerment|7.0|5820772.0|ZMW|CDF sub-programme allocation.|chirundu_obb_2024.pdf.pdf||
2024|CDF|CDF Administration|7.0|1531782.0|ZMW|CDF sub-programme allocation.|chirundu_obb_2024.pdf.pdf||
2024|CDF|Secondary School and Skills Development Bursaries|7.0|5820772.0|ZMW|CDF sub-programme allocation.|chirundu_obb_2024.pdf.pdf||
2024|CDF|Empowerment Loans|7.0|3492463.0|ZMW|Financial assets allocation under CDF.|chirundu_obb_2024.pdf.pdf||
2024|CDF|Empowerment Grants|7.0|2328309.0|ZMW|Transfers allocation under CDF.|chirundu_obb_2024.pdf.pdf||
2024|CDF Output|Ablution Blocks Constructed|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|6.0|Blocks
2024|CDF Output|Classroom Blocks Constructed|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|6.0|Blocks
2024|CDF Output|Desks Procured|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|75.0|Desks
2024|CDF Output|Solar Powered Boreholes Drilled|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|7.0|Boreholes
2024|CDF Output|Solar Powered Boreholes Upgraded|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|3.0|Boreholes
2024|CDF Output|Sports Facilities Constructed|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|1.0|Facility
2024|CDF Output|Staff Houses Constructed|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|3.0|Houses
2024|CDF Output|Ambulances Procured|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|1.0|Ambulance
2024|CDF Output|Motor Bikes for Chief Palace Procured|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|3.0|Motor Bikes
2024|CDF Output|Approved Youth, Women and Community Empowerment Grants Disbursed|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|100.0|Percent
2024|CDF Output|Approved Youth, Women and Community Empowerment Loans Disbursed|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|100.0|Percent
2024|CDF Output|CDF Committee Meetings Held|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|10.0|Meetings
2024|CDF Output|CDF Hour Radio Sessions Aired|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|52.0|Sessions
2024|CDF Output|Monitoring Reports Produced|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|4.0|Reports
2024|CDF Output|CDF Audit Verification Exercises|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|2.0|Exercises
2024|CDF Output|Approved Skills Bursaries Sponsored|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|100.0|Percent
2024|CDF Output|Approved Secondary School Bursaries Sponsored|8.0|||2024 CDF programme output target.|chirundu_obb_2024.pdf.pdf|100.0|Percent
2024|Local Revenue|Resource Mobilisation and Management — Total Allocation|29.0|9150433.0|ZMW|Total allocation for the Revenue Mobilisation and Enhancement sub-programme.|chirundu_obb_2024.pdf.pdf||
2024|Local Revenue|Personal Emoluments for Revenue Collectors|29.0|5814528.0|ZMW|Economic-classification allocation.|chirundu_obb_2024.pdf.pdf||
2024|Local Revenue|Use of Goods and Services|29.0|2077905.0|ZMW|Economic-classification allocation.|chirundu_obb_2024.pdf.pdf||
2024|Local Revenue|Assets — Revenue Collection Vehicle|29.0|1258000.0|ZMW|Economic-classification allocation for a revenue-collection vehicle.|chirundu_obb_2024.pdf.pdf||
2024|Local Revenue Output|Percentage of Revenue Increased|30.0|||Target: increase revenue by 10 percent from the previous year.|chirundu_obb_2024.pdf.pdf|10.0|Percent
2024|Local Revenue Output|Billing System Procured|30.0|||Programme output target.|chirundu_obb_2024.pdf.pdf|1.0|System
2024|Local Revenue Output|Own Source Revenue Collected|30.0|||Targeted collection from own-source-revenue projections.|chirundu_obb_2024.pdf.pdf|90.0|Percent
2024|Programme|Constituency Development|7.0|30635642.0|ZMW|Programme 1 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Public Order and Safety|24.0|677220.0|ZMW|Programme 10 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Management and Support Services|26.0|10845691.0|ZMW|Programme 11 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Resource Mobilisation and Management|29.0|9150433.0|ZMW|Programme 12 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|District Health servcies|31.0|1457388.0|ZMW|Programme 13 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Veterinary services|32.0|105899.0|ZMW|Programme 14 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Transport Services|33.0|3742847.0|ZMW|Programme 15 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Local Governance|9.0|1377628.0|ZMW|Programme 2 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Integrated Development Planning|11.0|3095245.0|ZMW|Programme 3 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Economic and Business Development|13.0|676430.0|ZMW|Programme 4 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Public Health and Environmental Protection|15.0|3807485.0|ZMW|Programme 5 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Housing and Community Amenities|17.0|13182722.0|ZMW|Programme 6 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Recreation Culture and Religion|19.0|642134.0|ZMW|Programme 7 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Education and Skills Development|21.0|228100.0|ZMW|Programme 8 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|Programme|Social Protection|22.0|137324.0|ZMW|Programme 9 identified in the 2024 OBB. Amount verified from programme allocation table.|chirundu_obb_2024.pdf.pdf||
2024|LGEF|Local Government Equalisation Fund|||ZMW|Not separately identified in the OCR text or reviewed grant pages. No separately stated LGEF allocation in the source budget; value intentionally blank.|chirundu_obb_2024.pdf.pdf||
