year|category|programme_or_output|page|budget_amount|currency|notes|source_file|target_value|target_unit
2024|Programme Output|Number of Full Council Meetings Held|10.0|||Programme 2: Local Governance; Output 02.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Stakeholder Meetings|10.0|||Programme 2: Local Governance; Output 04.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Zonal Representatives Elected|12.0|||Programme 3: Integrated Development Planning; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of WOCs Established|12.0|||Programme 3: Integrated Development Planning; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of unplanned settlements upgraded|12.0|||Programme 3: Integrated Development Planning; Output 02.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Properties Titled|12.0|||Programme 3: Integrated Development Planning; Output 04.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Community Engagements Held|12.0|||Programme 3: Integrated Development Planning; Output 05.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of WOF Projects Implemented|12.0|||Programme 3: Integrated Development Planning; Output 06.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Intergrated Development Plans Launched|12.0|||Programme 3: Integrated Development Planning; Output 07.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Percentage of profits remitted from Commercial Ventures - : - :|14.0|||Programme 4: Economic and Business Development; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Health Inspections Conducted|16.0|||Programme 5: Public Health and Environmental Protection; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Keep Chirundu Clean Campaigns|16.0|||Programme 5: Public Health and Environmental Protection; Output 02.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Tonnes of Garbage Collected|16.0|||Programme 5: Public Health and Environmental Protection; Output 03.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Wall fences at Dump Site Constructed (Phase 2)|16.0|||Programme 5: Public Health and Environmental Protection; Output 04.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Health Education Sensitisations Conducted|16.0|||Programme 5: Public Health and Environmental Protection; Output 05.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Commemorations Held|16.0|||Programme 5: Public Health and Environmental Protection; Output 06.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of WOF Projects Implemented|18.0|||Programme 6: Housing and Community Amenities; Output 02.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Public Amenities Maintained|18.0|||Programme 6: Housing and Community Amenities; Output 03.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Proportion of Sourced Condoms Distributed|23.0|||Programme 9: Social Protection; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Pre-Schools Inspected|23.0|||Programme 9: Social Protection; Output 06.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Proportion increase to building inspection regulation adherence|25.0|||Programme 10: Public Order and Safety; Output 03.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Proportion of Twenty Five - minute response time to Fire within a radius of|25.0|||Programme 10: Public Order and Safety; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number of Procurement plans developed|28.0|||Programme 11: Management and Support Services; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Percentage Reduction of Audit Queries|28.0|||Programme 11: Management and Support Services; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|Number Of Financial Statements Prepared|28.0|||Programme 11: Management and Support Services; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|"Health Services : | : : | : 100 |"|31.0|||Programme 13: District Health servcies; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Programme Output|"Proportion of Approved Kilometers of Local Roads Maintained (0) | (0) (0) | (0) 100 |"|33.0|||Programme 15: Transport Services; Output 01.|chirundu_obb_2024.pdf.pdf||
2024|Budget Summary|Chirundu Town Council Total Budget|2.0|79762187.0|ZMW|Grand total confirmed on page 37; page 2 describes it as approximately K79.7 million.|chirundu_obb_2024.pdf.pdf||
2024|Local Revenue|Projected Locally Mobilized Revenue|2.0|||Budget summary reports an increase of over 100 percent; no exact amount is stated.|chirundu_obb_2024.pdf.pdf|100.0|Percent increase
2024|Grant|Vehicle Licensing Grant|2.0|3700000.0|ZMW|Grant mentioned in the 2024 budget summary.|chirundu_obb_2024.pdf.pdf||
2024|Grant|World Bank Capital Grant|2.0|3700000.0|ZMW|Capital grant mentioned in the 2024 budget summary.|chirundu_obb_2024.pdf.pdf||
