category|procurement_item|estimated_amount_zmw|source_of_funds|procurement_method|planned_award_date|year|source_document|source_page
goods|Procurement of motor vehicle|1400000.0|Local Revenue|obn|2026-08-17|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of dog tags and cadva tags|109000.0|Local Revenue|sb|2026-07-20|2026|069--APP-CTC-2026.xls|Data
goods|Destiling of drainanges|45000.0|Local Revenue|sb|2026-04-09|2026|069--APP-CTC-2026.xls|Data
goods|Purchase of land for premimun plots|465832.0|Local Revenue|sb|2026-07-16|2026|069--APP-CTC-2026.xls|Data
goods|Solar street lights|186600.0|Local Revenue|sb|2026-06-11|2026|069--APP-CTC-2026.xls|Data
non consulting services|Hire of conference venues|71500.0|Local Revenue|sb|2026-08-10|2026|069--APP-CTC-2026.xls|Data
goods|Information technology IT accessories|230000.0|Local Revenue|sb|2026-05-18|2026|069--APP-CTC-2026.xls|Data
goods|IT billing system|300000.0|Local Revenue|sb|2026-04-15|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of Council Police Uniforms|133095.0|Local Revenue|sb|2026-07-13|2026|069--APP-CTC-2026.xls|Data
goods|Procurement of a drone for Public Relatons Unit|12000.0|Local Revenue|sb|2026-08-17|2026|069--APP-CTC-2026.xls|Data
consulting services|Servicing of printer in Procurement Unit|30000.0|Local Revenue|sb|2026-06-12|2026|069--APP-CTC-2026.xls|Data
