category|procurement_item|estimated_amount_zmw|source_of_funds|procurement_method|planned_award_date|year|source_document|source_page
goods|Procurement of computer peripherals, equipments and accessories|784850.0|Local resources|sb|2025-03-03|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of office stationery, tonners, books, files and other accessories|1000000.0|Local resources|sb|2025-01-20|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of Office equipment and accessories and supplies|722100.0|Local resources|sb|2025-01-21|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of fuels for council operations|913400.0|Local resources|db|2025-01-13|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of fuels for council operations under the 2025 CDF|3278013.69|2025 CDF|db|2025-03-07|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of an electricity generator under supply and delivery|500000.0|Local resources|sb|2025-03-10|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of 2 generator with 500W and a medium|67600.0|Local resources|sb|2025-02-10|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
consulting services|Repair and maintenance of infrastructure|134900.0|Local resources|sb|2025-03-24|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
non consulting services|Procurement of accounting system|37000.0|Local resources|sb|2025-01-27|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of hand tools and personal protective equipments|1000000.0|Local resources|sb|2025-03-10|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of tools and general machinery under Cash for work|600000.0|Grant|sb|2025-02-20|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of T Shirts and Banners ( events)|230450.0|Local resources|sb|2025-03-05|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of sports attires and recreation|33600.0|Local resources|sb|2025-05-12|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
consulting services|Procurement of adverts, sound systems and communication services|111700.0|Local resources|sb|2025-01-28|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
non consulting services|Procurement of Branding naming services and communication|245851.03|2025 CDF|sb|2025-01-29|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
non consulting services|Procurement of Zesco units (electricity)|158400.0|Local resources|db|2025-01-13|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
consulting services|Procurement of fire services (attires, tools and associate accessories)|234700.0|Local resources|sb|2025-02-28|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Njame (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of Community Projects under the 2025 CDF|18654678.04|2025 CDF|obn|2025-05-15|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of Cleaning materials for the institution (equipment and supplies)|51540.0|Local resources|sb|2025-01-10|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
consulting services|Servicing of the procurement unit photocopy machine (maintenance)|30000.0|Local resources|sb|2025-02-28|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of general purpose lubricants|473000.0|Local resources|sb|2025-04-11|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Construction of an Ablution Block at the Double Storey Building opposite Chirundu Boarder Post|90000.0|Local resources|sb|2025-02-10|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Construction of an Abattoir|300000.0|Local resources|sb|2025-05-12|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Vehicles maintenance and servicing /plant maintenance|525000.0|Local resources|sb|2025-03-28|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Paving of the township roads (1,6km)|5240000.0|Grant and locally generated fun|obn|2025-06-09|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Construction of the completion of Chibende Rural Health Centre under the 2023 CDF funding|538726.57|2023 CDF project|sb|2025-02-10|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Construction of the Community Hall|2000000.0|Local resources|obn|2025-06-20|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Boreholes,pumps and water reticulation|290100.0|Local resources|sb|2025-06-16|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Construction of a Solar powered Borehole|800000.0|Local resources|sb|2025-07-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Construction of (1) Ablution Block at Mission Hospital|300000.0|Local resources|sb|2025-08-20|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Rehabilitation of township roads|200000.0|Local resources|sb|2025-08-27|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Construction of a VIP Latrine Toilet at M15 Checkpoint|50000.0|Local resources|sb|2025-04-21|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Construction of Kabana Truckpark|535959.96|Local resources|sb|2025-04-21|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Installation and maintenance of streetlights|137700.0|Local resources|sb|2025-05-15|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Repair of heavy duty equipment|50000.0|Local resources|sb|2025-06-13|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Intergrity committee Stationery, attires and accessories|110025.0|Local resources|sb|2025-06-04|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
non consulting services|Conference hiring for Council meeting and refreshments for different institution meetings|270530.0|Local resources|sb|2025-01-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu West (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu Central (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu Kanyanga (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu Lusitu (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu Ibbwemunyama (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu Sikoongo (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu Musaya (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu Kapululira (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu Mushungu (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu Nkandabwe (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
works|Procurement of WDC projects in Chirundu Ngombe ilede (Community and Social Services)|135875.68|Local resources|sb|2025-03-31|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
goods|Procurement of hand tools and personal protective equipments Additional|124905.0|Local resources|sb|2025-03-10|2025|070--2025-ANNUAL-PROCUREMENT-PLAN.pdf|1-2
