category|procurement_item|estimated_amount_zmw|source_of_funds|procurement_method|planned_award_date|year|source_document|source_page
non consulting services|waste and refuse collection|580555.0|Local resources|sb|2023-01-16|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|fixtures and fittings ( Procurement of Electricals and carpenterly|32400.0|Local resources|sb|2023-03-14|2023|076--2023-PROCUREMENT-PLAN.pdf|1
non consulting services|internet charges|74400.0|Local resources|db|2023-01-25|2023|076--2023-PROCUREMENT-PLAN.pdf|1
non consulting services|electricity charges|158400.0|Local resources|db|2023-01-31|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Utilization of CDF Funds -2023|17882261.0|CDF N|obn|2023-04-14|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|construction of a double storey office block|250000.0|EqualisationN fund/local|s bresources|2023-03-22|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Maintenance and grading of roads|630000.0|Ward FundN|sb|2024-04-11|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|make Zambia Clean -Procurement of refreshments|93900.0|Local resources|sb|2023-01-24|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|tools and equipment(procurement of slashers, hoes, cutters,wheelbarrows1|58670.0|Local resources|sb|2023-04-06|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Protective clothing|95525.0|Local resources|sb|2023-04-14|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Auto spares|100000.0|Local resources|sb|2023-02-20|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Tyres for motor vehicles|39000.0|Local resources|sb|2023-03-07|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Street light Equipment maintenence|137700.0|Local resources|sb|2023-05-08|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Road Mantenance Materials|294000.0|Local resources|sb|2023-05-23|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Various stationery|425292.0|Local resources|sb|2023-03-07|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|office eqipment|40000.0|Local resources|sb|2023-03-07|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|procurement of office furniture|229800.0|Local resources|sb|2023-04-14|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Procurement of books, newspapers,magazines|11250.0|Local resources|sb|2023-02-07|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|office fittings (uphostering of office tables and chairs)|2000.0|Local resources|sb|2023-10-13|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Building maintenance materials|74020.0|Local resources|sb|2023-04-03|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Procurement of various materials for labour day|588800.0|Local resources|sb|2023-04-24|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Petrol,oil and lubricants for local and travelling out|200160.0|Local resources|sb|2023-01-09|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|cleaning materials|32700.0|Local resources|sb|2023-01-13|2023|076--2023-PROCUREMENT-PLAN.pdf|1
non consulting services|printing|7000.0|Local resources|sb|2023-06-13|2023|076--2023-PROCUREMENT-PLAN.pdf|1
non consulting services|Data processing services|73500.0|Local resources|db|2023-02-20|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|public functions and ceremonies|113700.0|Local resources|sb|2023-10-09|2023|076--2023-PROCUREMENT-PLAN.pdf|1
works|bush clearing and grass cutting|67840.0|Local resources|sb|2023-02-17|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|computers,periferials,equipment|143001.0|Local resources|sb|2023-04-11|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Refrigerator, TV, CVR, Cameras|41500.0|Local resources|sb|2023-04-21|2023|076--2023-PROCUREMENT-PLAN.pdf|1
non consulting services|Telephone,fax,telex,radio|7000.0|Local resources|sb|2023-06-13|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|water treatment chimicals|278100.0|Local resources|sb|2023-05-02|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|water reticulations|95830.0|Local resources|sb|2023-05-02|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|Conference,Serminars and workshops|59040.0|Local resources|sb|2023-02-21|2023|076--2023-PROCUREMENT-PLAN.pdf|1
non consulting services|survey and mapping|41460.0|Local resources|sb|2023-08-04|2023|076--2023-PROCUREMENT-PLAN.pdf|1
works|Construction of a staff house, ablution block and driiling equipping|1211835.0|2022 CDF N|obn|2023-05-26|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|procurement of a block making machine|800000.0|EqualizationN fund|sb|2023-05-24|2023|076--2023-PROCUREMENT-PLAN.pdf|1
works|Construction of ablution block at the truck park|150000.0|EquilizationN fund|sb|2023-07-26|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|procurement of an Ambulance|1789320.0|2023 CDF N|obn|2023-08-08|2023|076--2023-PROCUREMENT-PLAN.pdf|1
goods|procurement of a garbage compactor truck|1808560.0|2023 CDF N|obn|2023-08-18|2023|076--2023-PROCUREMENT-PLAN.pdf|1
works|Construction of 3 sanitation facilities at Mission, T-Junction and|1597085.0|2023 CDF N|obn|2023-09-15|2023|076--2023-PROCUREMENT-PLAN.pdf|1
works|Procurement of desks for various Schools|1032000.0|2023 CDF N|obn|2023-08-04|2023|076--2023-PROCUREMENT-PLAN.pdf|1
works|construction of martenity wings at Chibende Clinic|983303.0|2023 CDF N|sb|2023-06-23|2023|076--2023-PROCUREMENT-PLAN.pdf|1
