fiscal_year|period|record_type|section|line_item|amount_current_zmw|amount_prior_zmw|approved_budget_zmw|actual_zmw|variance_zmw|variance_pct|is_material_variance|notes|source_document|source_page
2025|H1|audit_finding|Risk management|Finding 8||||||||"FINDING: A risk register was in place; however, monitoring of mitigation strategies was limited.
RECOMMENDATION: Continue maintaining the risk register and strengthen mechanisms to monitor risks regularly.
ACTION TAKEN: Management has implemented a risk management framework, and departmental heads have been tasked with quarterly risk reporting."|2025 BI ANNUAL PERFORMANCE REPORT.pdf|2
2025|H1|debt_arrears|Debt & Arrears|PE's|2969705.03|3091083.06|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|ZAMTEL|0.0|0.0|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|ZESCO|0.0|0.0|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|WATER|0.0|0.0|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|LEGAL COSTS|0.0|0.0|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|NAPSA ARREARS|2620421.5|2815853.18|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|NAPSA ARREARS - PENALTIES|7596904.51|7041602.0|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|LASF ARREARS|-49973.08|-49973.08|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|LASF ARREARS - PENALTIES|0.0|0.0|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|OTHER PENSION ARREARS|0.0|0.0|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|OTHER PENSIONS ARREARS - PENALTIES|0.0|0.0|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|ZRA PAYE|7342242.12|5186868.17|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|ZRA - PENALTIES|0.0|0.0|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
2025|H1|debt_arrears|Debt & Arrears|GOODS & SERVICES|208460.06|156000.0|||||||2025 BI ANNUAL PERFORMANCE REPORT.pdf|3
