fiscal_year|record_type|section|line_item|amount_current_zmw|amount_prior_zmw|approved_budget_zmw|actual_zmw|variance_zmw|variance_pct|is_material_variance|notes|source_document|source_page
2023|lgef|LGEF Monthly Funding|November|708675.52|735410.55|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|25
2023|lgef|LGEF Monthly Funding|December|744309.16|694964.58|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|25
2023|lgef|LGEF Summary|Operational Expenditure (80%)|7066482.0|6985218.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|25
2023|lgef|LGEF Summary|Capital Expenditure (20%)|2377040.0|1746304.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|25
2023|lgef|LGEF Summary|LGEF - Total Funding|8833102.0|8731522.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|25
2023|cdf|Funding|Chirundu Constituency Funding|27261470.0|23739911.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Other Sources|Other CDF Sources|241963.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Infrastructure Development|Construction of Primary Schools|5878137.0|1478332.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Infrastructure Development|Construction of Secondary Schools|85000.0|85000.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Infrastructure Development|Construction of Bridges|66829.0|153118.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Infrastructure Development|Construction of Health Post|571208.0|250005.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Infrastructure Development|Construction of Boreholes|2415981.0|564332.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Infrastructure Development|Construction of Staff House|902984.0|250005.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Infrastructure Development|Construction of Feeder Roads|599899.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Infrastructure Development|Purchase of School Desks|2017930.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Youth and Women Empowerment|Youth and Women Empowerment Grant|2118970.0|960000.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Youth and Women Empowerment|Youth and Women Loans|5964128.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Secondary & Skills Bursaries|Secondary Boarding Schools and Skills Dev Bursaries|7381687.0|1509698.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|cdf|Administrative Costs|CDF Administration|2925949.0|1240890.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|26
2023|revenue_detail|Local Taxes|Residential Rates|196627.0|62048.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|21
2023|revenue_detail|Local Taxes|Industrial / Commercial Rates|77650.0|602111.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|21
2023|revenue_detail|Local Taxes|Hospitality||5400.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|21
2023|revenue_detail|Local Taxes|Personal Levy|50885.0|26135.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|21
2023|revenue_detail|Fees and Charges|Consent Fees|2050.0|50.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Survey Fees|85600.0|60800.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Building Inspection Fees|10900.0|5800.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Plan Scrutiny Fees|25043.0|13893.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Application Form Fees|119860.0|177390.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Search Fees|100.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Market Fees|26972.0|157582.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Parking Fees|17835414.0|7414868.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Bus Station Fees|20460.0|7154.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Affidavit Fees|500.0|820.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Refuse Disposal Fees|68386.0|21550.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Notice of Marriage|11090.0|15660.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Abbattoir/Meat Inspection Fees|142.0|1085.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Communication Mast Levy|29330.0|10000.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Land Record|3000.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Billboard and Banner|47960.0|29550.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Lease of Council Transport|130050.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Illegal Vending Fees|450.0|450.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Penalties|68671.0|84470.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Change of Land Use|19000.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Ntemba Fees|1400.0|11800.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Truck Parking|64950.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Registration of Clubs and Societies|104090.0|64950.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Ablution Fees|106123.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Fees and Charges|Electricity & Water Connections|5805.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Land Development Charges|Service Charges - Residential Plots|312500.0|253400.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Land Development Charges|Service Charges - Industrial Plots|59950.0|110554.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|22
2023|revenue_detail|Licences|Occupancy Licence|8000.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|23
2023|revenue_detail|Licences|Hawkers Licence|6100.0|2100.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|23
2023|revenue_detail|Licences|Lodger Licence|5400.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|23
2023|revenue_detail|Licences|Liquor Licence|115300.0|61525.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|23
2023|revenue_detail|Licences|Firearm and Ammunition Licence|19950.0|22400.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|23
2023|revenue_detail|Licences|Petroleum Licence|66130.0|87200.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|23
