year|category|revenue_code|revenue_description|amount_zmw|source_url|source_page|notes
2022|Licenses|002|Firearm and ammunition licence|22500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Licenses|003|Dog licence|4000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Licenses|061|Restaurant licence|50000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Licenses|099|Other licences|17000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Levies|001|Livestock levy|40000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Levies|002|Birds levy|1500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Levies|003|Fish levy|8000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Levies|004|Pole levy|5400.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Levies|005|Charcoal levy|24000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Levies|006|Sand levy|25000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Levies|099|Miscellaneous levies|20000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Permits|001|Health permits|405000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Permits|003|Herbalist permit|3000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Permits|006|Transportation of opaque beer|18000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Permits|008|Burial permits and grave sites|261000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Permits|009|Fire certificate|161900.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Permits|010|Extension of business hours permits|72000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Permits|011|Public permits (social gatherings, etc.)|6250.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Permits|099|Other permits|617100.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Charges|001|Service Charges – Residential plots|825000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Charges|002|Service Charges – Industrial plots|950000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Charges|006|Lease Charges|590000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Charges|099|Other charges|178750.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|Other Incomes|099|Other income|369715.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|3|
2022|National Support (Grants)|002|Restructuring Grant|7392716.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4|
2022|National Support (Grants)|003|Recurrent Grant|100000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4|
2022|National Support (Grants)|004|Capital Grant|1848179.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4|
2022|National Support (Grants)|007|Special Grants|80000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4|
2022|Local Development Fund|001|Constituency Development Fund|25700000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2022-Final.pdf|4|
2023|Local taxes/rates|001|Residential|126064.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Local taxes/rates|002|Industrial/Commercial|324666.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Local taxes/rates|001|Personal levy|34350.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|001|Consent fees|132000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|002|Survey fees|300000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|003|Building inspection-fees|40000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|004|Plan scrutiny fee|73644.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|005|Change of premise use|7500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|006|Container/Ntemba fees|174000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|008|Application forms fees|60000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|012|Notice board advert fees|2200.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|013|Market fees|90000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|014|Parking fees|8475000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|016|Bus station fees|31500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|017|Affidavit fees|20000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|020|Hire of halls|1200.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|030|Course fees|3500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|033|Refuse disposal|446000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|045|Notice of marriage fees|18500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|047|Registration of clubs and societies|40000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|053|Communication mast levy|24500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|054|Ilegal Parking of vehicles|27500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|057|Land record|15000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|061|Billboards and banners|96700.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|062|Lease of council transport|776000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|064|Penalties|128000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Fees and Charges|099|Other fees and charges|86960.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Licenses|001|Liquor licence|143550.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Licenses|002|Firearm and ammunition licence|18750.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Licenses|003|Dog licence|10000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Licenses|055|Ocupancy licence|11250.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Licenses|099|Other licences|140000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|3|
2023|Levies|001|Livestock levy|31000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Levies|002|Birds levy|1500.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Levies|003|Fish levy|6000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Levies|004|Pole levy|450.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Levies|005|Charcoal levy|28800.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
